AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
> 0.95,Video/Internet,Southern New England,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","06 [0.81, 1.13]",15,0.000000,0.0005824030332
> 0.95,Video/Internet/Voice,So Cal North,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","08 [1.65, 2.80]",16,0.000000,0.001311661841
HIGH,Video/Internet,Pacific Northwest,"02 [0.1236, 0.597]","00 [-0.00, 0.02]","09 [2.80, 440.64]",2,0.000000,0.001202155317
> 0.95,Internet Only,Central NY,"02 [0.1236, 0.597]","02 [2.13, 5.13]","04 [0.41, 0.59]",1,0.000000,0.0005416903208
HIGH,Internet/Voice,Northern New England,"07 [5.4369, 9.1667]","00 [-0.00, 0.02]","09 [2.80, 440.64]",2,0.000000,0.0006125322465
HIGH,Internet Only,North Texas,"08 [9.1684, 16.5179]","02 [2.13, 5.13]","00 [-0.00, 0.009]",2,0.000000,0.0004109114093
HIGH,Video/Internet,Wisconsin,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","09 [2.80, 440.64]",24430,0.000737,0.0006211023476
HIGH,Internet Only,Midwest Central,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","08 [1.65, 2.80]",178763,0.000459,0.0005330119285
HIGH,Internet Only,"Greenville, SC / Georgia","07 [5.4369, 9.1667]","03 [5.13, 8.53]","07 [1.13, 1.65]",20904,0.000431,0.0004215838121
HIGH,Video/Internet/Voice,Central NY,"05 [1.9149, 3.2258]","09 [40.36, 1134.70]","09 [2.80, 440.64]",28654,0.000593,0.000915744168
LOW,Video/Internet,Northern New England,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","01 [0.009, 0.13]",20941,0.000955,0.0008390729317
HIGH,Internet/Voice,Northern Ohio,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","06 [0.81, 1.13]",15773,0.000317,0.0005141266768
HIGH,Video/Internet/Voice,South Manhattan,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",1399,0.006433,0.003807057567
HIGH,Video/Internet,West Central Florida,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","02 [0.13, 0.26]",4467,0.002015,0.001159340792
HIGH,Internet/Voice,West Central Florida,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","05 [0.59, 0.81]",4719,0.000848,0.000632718988
> 0.95,Video/Internet,Michigan,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","03 [0.26, 0.41]",22,0.000000,0.001245283297
ZERO,Video/Internet,Central Texas,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",4862,0.001234,0.00194884621
LOW,Internet/Voice,"Greenville, SC / Georgia","04 [1.1254, 1.9139]","04 [8.53, 12.29]","02 [0.13, 0.26]",366,0.000000,0.0005130111747
